mstime	trial_type	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
844725	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	DRESS	495	n/a	n/a	0	0	0
847228	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	WAITER	1580	n/a	n/a	0	0	0
850013	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	HOOK	715	n/a	n/a	0	0	0
852565	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	VICTIM	1562	n/a	n/a	0	0	0
855268	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	CHEMIST	292	n/a	n/a	0	0	0
857719	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	MARKER	870	n/a	n/a	0	0	0
860273	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	THRONE	1461	n/a	n/a	0	0	0
862806	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	WITNESS	1618	n/a	n/a	0	0	0
865309	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	AWARD	63	n/a	n/a	0	0	0
867811	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	LAGOON	795	n/a	n/a	0	0	0
870315	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	BLACKBOARD	133	n/a	n/a	0	0	0
873050	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	SERVANT	1271	n/a	n/a	0	0	0
875535	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	CHAMPAGNE	278	n/a	n/a	0	0	0
878172	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	COCKTAIL	338	n/a	n/a	0	0	0
880856	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	LUMBER	848	n/a	n/a	0	0	0
883458	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	LEG	809	n/a	n/a	0	0	0
885061	START	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	7	n/a	n/a	n/a	n/a
886249	DISTRACTOR	n/a	LTP269	ltpFR2	12	5	n/a	n/a	n/a	n/a	0	0	0
886261	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	7	16	8	4	4
888013	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	7	16	4	9	3
889863	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	7	24	7	9	8
892633	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	7	8	1	2	5
894483	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	7	15	8	3	4
896168	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	7	10	7	2	1
897535	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	7	15	9	1	5
898921	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	7	9	3	5	1
901373	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	7	9	1	5	3
903360	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	7	18	6	8	4
906127	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	7	21	5	9	7
908633	STOP	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	7	n/a	n/a	n/a	n/a
910981	REC_START	n/a	LTP269	ltpFR2	12	5	n/a	n/a	n/a	n/a	0	0	0
913893	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	GOBLIN	645	n/a	n/a	0	0	0
915420	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	EGYPT	519	n/a	n/a	0	0	0
915914	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	ATLAS	53	n/a	n/a	0	0	0
918044	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	WAITRESS	1581	n/a	n/a	0	0	0
919301	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	SUPPER	1411	n/a	n/a	0	0	0
923850	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	WITNESS	1618	n/a	n/a	0	0	0
926208	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	WAITER	1580	n/a	n/a	0	0	0
928320	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	HOOK	715	n/a	n/a	0	0	0
929500	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	CHEMIST	292	n/a	n/a	0	0	0
931085	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	MARKER	870	n/a	n/a	0	0	0
939035	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	AWARD	63	n/a	n/a	0	0	0
942227	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	LAGOON	795	n/a	n/a	0	0	0
963250	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	LUMBER	848	n/a	n/a	0	0	0
